port_locode,country_code,location_code,port_name,function,status,coordinates
AEABU,AE,ABU,Abu al Bukhoosh,1-------,RL,2529N 05308E
AEAJM,AE,AJM,Ajman,1-3-----,RL,
AEAJP,AE,AJP,Al Jeer Port,1-3-----,RL,2602N 05603E
AEAMF,AE,AMF,Musaffah,1-3-----,RL,2423N 05429E
AEAMU,AE,AMU,Abu Musa,1-------,RL,2552N 05501E
AEARP,AE,ARP,Ahmed Bin Rashid Port,1-------,RL,2532N 05533E
AEAUH,AE,AUH,Abu Dhabi,1-345---,AI,2428N 05422E
AEDAS,AE,DAS,Das Island,1-------,RL,
AEDBP,AE,DBP,Dibba,1-3-----,RL,2537N 05616E
AEDUJ,AE,DUJ,The Palm Jumeirah,1-------,RL,
AEDXB,AE,DXB,Dubai,1-345---,AI,2515N 05516E
AEEND,AE,END,Esnnad,1-------,RL,2419N 05427E
AEFAT,AE,FAT,Fateh Terminal,1-------,QQ,
AEFJR,AE,FJR,Al Fujayrah,1--4----,AI,2507N 05620E
AEFRP,AE,FRP,Free Port,1-------,RL,2515N 05515E
AEHSN,AE,HSN,Hassyan,1-3-----,AA,2454N 05454E
AEHTL,AE,HTL,Hulaylah Terminal,1-------,RL,2559N 05556E
AEHZP,AE,HZP,Hamriya Free Zone Port,1-------,RL,2518N 05519E
AEJAZ,AE,JAZ,Al Jazeera Port,1-------,RL,2543N 05548E
AEJEA,AE,JEA,Jebel Ali,1-------,QQ,
AEJED,AE,JED,Jebel Dhanna,1-------,QQ,
AEKHL,AE,KHL,Mina Khalifa/Abu Dhabi,1-------,RL,2450N 05440E
AEKLB,AE,KLB,Kalba,1-3-----,RL,2504N 05621E
AEKLF,AE,KLF,Khor al Fakkan,1-------,RL,2520N 05621E
AEMBS,AE,MBS,Mubarras Island,1-------,RL,2435N 05319E
AEMKH,AE,MKH,Mina Khalid,1-3-----,RL,2521N 05522E
AEMRP,AE,MRP,Mina Rashid Port,1-------,RL,2516N 05517E
AEMSA,AE,MSA,Mina Saqr,1-------,RL,2558N 05604E
AEMUB,AE,MUB,Mubarek Terminal,1-------,QQ,
AEMZD,AE,MZD,Mina Zayed/Abu Dhabi,1-------,RL,2431N 05422E
AEPRA,AE,PRA,Port Rashid,1-------,RL,
AEQIW,AE,QIW,Umm al Quwain,1--4----,AI,2535N 05535E
AEQWE,AE,QWE,Jebel Ali Free Zone,1-3-----,RL,2500N 05503E
AERFA,AE,RFA,Mirfa,1----6--,RL,2528N 05329E
AERKP,AE,RKP,Rak Khor Port,1-------,RL,2549N 05557E
AERKT,AE,RKT,Ras al Khaimah,1--4----,AI,2547N 05557E
AERMC,AE,RMC,Rak Maritime City,1-------,RL,2557N 05603E
AERUW,AE,RUW,Ar Ruways,1-------,RL,2407N 05244E
AERWP,AE,RWP,Ruwais Port,1-------,RL,2406N 05243E
AESHJ,AE,SHJ,Sharjah,1-34----,AI,2521N 05523E
AESID,AE,SID,Sadiyat Island,1-------,RL,2432N 05424E
AEULR,AE,ULR,Umm Al Nar,1-------,RL,2426N 05430E
AEYAS,AE,YAS,Yas Island,1-------,RL,2419N 05236E
AEZUR,AE,ZUR,Zirku Island,1-------,RL,2453N 05304E
AFDHD,AF,DHD,Dehdadi,1----6--,RL,3639N 06659E
AFQLT,AF,QLT,Qalat,1-3-----,RL,3206N 06653E
AFRKH,AF,RKH,Torkham,1-------,RL,3453N 07155E
AGANU,AG,ANU,Antigua,1---5---,AI,
AGBBQ,AG,BBQ,Barbuda,1-------,AI,
AGFAM,AG,FAM,Falmouth,1----6--,RL,1701N 06147W
AGPHM,AG,PHM,Parham,1----6--,RL,1705N 06145W
AGSJO,AG,SJO,Saint John's,1-------,AI,1707N 06151W
AIBLP,AI,BLP,Blowing Point,1-------,QQ,
AIFOR,AI,FOR,The Forest,1-------,QQ,
AIMBB,AI,MBB,Meads Bay Beach,1-------,RL,1810N 06308W
AIRBY,AI,RBY,Road Bay,1-3-----,AS,1812N 06305W
AIROA,AI,ROA,The Road,1-------,QQ,
AISOM,AI,SOM,Sombrero,1-------,RL,1836N 06328W
AIWLL,AI,WLL,Wall Blake,1--4----,RL,
ALBUT,AL,BUT,Butrint,1-------,RL,3945N 02001E
ALDRZ,AL,DRZ,Durrës,1-------,RL,
ALHMR,AL,HMR,Himare,1-------,RL,4008N 01943E
ALROM,AL,ROM,Romano Port,1-3-----,RL,4122N 01925E
ALSAR,AL,SAR,Sarandë,1-------,RL,3953N 02000E
ALSHG,AL,SHG,Shëngjin,1-------,RL,4148N 01934E
ALVOA,AL,VOA,Vlorë,1-------,RL,4028N 01929E
AMJER,AM,JER,Jermuk,1----6--,RL,
AOAZZ,AO,AZZ,Ambriz,1--4----,AI,
AOBAB,AO,BAB,Baba,1-------,RL,1450S 01214E
AOBDD,AO,BDD,Barra do Dande,1-------,RL,
AOBDT,AO,BDT,Baía dos Tigres,1-------,RL,1636S 01144E
AOBUG,AO,BUG,Benguela,1--4----,AI,
AOCAB,AO,CAB,Cabinda,1--4----,AI,
AOCPO,AO,CPO,Capulo,1-------,RL,0759S 01310E
AOCUI,AO,CUI,Cuio,1-------,RL,1259S 01259E
AODAL,AO,DAL,Dalia,1-------,RL,0741S 01147E
AODGR,AO,DGR,Dombe Grande,1-------,RL,
AOETN,AO,ETN,Essungo Terminal,1-------,RL,0620S 01210E
AOFBY,AO,FBY,Farta Bay,1-------,RL,1237S 01312E
AOFLT,AO,FLT,Futila Terminal,1-------,RL,0527S 01211E
AOGIM,AO,GIM,Gimboa,1-------,RL,0732S 01210E
AOGIR,AO,GIR,Girassol Terminal,1-------,RL,0738S 01141E
AOGPO,AO,GPO,Greater Plutonio,1-------,RL,0750S 01207E
AOKTI,AO,KTI,Kiame Terminal,1-------,RL,
AOLAD,AO,LAD,Luanda,1--45---,AI,
AOLBT,AO,LBT,Lombo Terminal,1-------,RL,0659S 01221E
AOLIE,AO,LIE,Lieura,1-------,QQ,
AOLOB,AO,LOB,Lobito,1---5---,RL,
AOLUC,AO,LUC,Lucira,1-3-----,RL,
AOMSZ,AO,MSZ,Namibe,1--4----,AI,
AONDD,AO,NDD,Sumbe,1-34----,AI,
AONQI,AO,NQI,Nóqui,123-----,RL,0551S 01326E
AONTO,AO,NTO,N'Zeto,1-3-----,AS,0714S 01252E
AOPAT,AO,PAT,Palanca Terminal,1-------,RL,
AOPBN,AO,PBN,Porto Amboim,1-------,AI,
AOPLE,AO,PLE,Tombua,1-3-----,AS,1549S 01151E
AOPSA,AO,PSA,Porto Saco (Portosalazar),1-------,RL,1508S 01208E
AORSN,AO,RSN,River Sao Nicolau,1-------,RL,1415S 01220E
AOSOQ,AO,SOQ,Soyo-Quinfuquena Terminal,1-------,RL,
AOSTL,AO,STL,Sazaire Terminal,1-------,RL,0605S 01223E
AOSZA,AO,SZA,Soyo,1--4----,AI,
AOTAK,AO,TAK,Takula Terminal,1-------,RL,
AQABA,AQ,ABA,Aboa,1-------,RL,7303S 01325W
AQAPT,AQ,APT,Arturo Prat,1-------,RL,6230S 05941W
AQARC,AQ,ARC,Arctowski,1-------,RL,6209S 05828W
AQART,AQ,ART,Artigas,1-------,RL,6211S 05854W
AQBHN,AQ,BHN,Bellingshausen,1-------,RL,6211S 05857W
AQCAS,AQ,CAS,Casey Station,1-------,RL,6617S 11031E
AQCFZ,AQ,CFZ,Comandante Ferraz,1-------,RL,6205S 05823W
AQDAV,AQ,DAV,Davis Station,1-------,RL,6834S 07758E
AQDDU,AQ,DDU,Dumont d'Urville Station,1-------,RL,6639S 14000E
AQESC,AQ,ESC,Escudero,1-------,RL,6212S 05857W
AQESP,AQ,ESP,Esperanza,1-------,RL,6323S 05659W
AQGWL,AQ,GWL,Great Wall,1-------,RL,6213S 05858W
AQHLY,AQ,HLY,Halley,1-------,RL,7534S 02632W
AQJBS,AQ,JBS,Jang Bogo Station,1-------,RL,7436S 16412E
AQJCP,AQ,JCP,Juan Carlos Primero,1-------,RL,6239S 06023W
AQJUB,AQ,JUB,Jubany,1-------,RL,6214S 05839W
AQKHN,AQ,KHN,Kohnen,1-------,RL,7500S 00004E
AQKSG,AQ,KSG,King Sejong,1-------,RL,6213S 05847W
AQLAW,AQ,LAW,Law Base,1-------,RL,6923S 07623E
AQMAW,AQ,MAW,Mawson Station,1-------,RL,6736S 06252E
AQMCM,AQ,MCM,McMurdo,1--4----,RL,7750S 16640E
AQMIR,AQ,MIR,Mirny,1-------,RL,6633S 09300E
AQMRB,AQ,MRB,Marambio,1-------,RL,6414S 05639W
AQMZU,AQ,MZU,Mario Zucchelli,1-------,RL,7441S 16407E
AQOHG,AQ,OHG,General Bernardo O'higgins,1-------,RL,6319S 05754W
AQORC,AQ,ORC,Orcadas,1-------,RL,6044S 04444W
AQPFS,AQ,PFS,Port Foster,1-------,RL,6300S 06034W
AQPLM,AQ,PLM,Palmer,1-------,RL,6446S 06403W
AQPRO,AQ,PRO,Progress,1-------,RL,6924S 07623E
AQROT,AQ,ROT,Rothera,1-------,RL,6734S 06807W
AQSGN,AQ,SGN,Signy,1-------,RL,6043S 04536W
AQSMT,AQ,SMT,San Martín,1-------,RL,6807S 06706W
AQSYW,AQ,SYW,Syowa,1-------,RL,6900S 03935E
AQVKY,AQ,VKY,Vernadsky,1-------,RL,6514S 06415W
AQWSA,AQ,WSA,Wasa,1-------,RL,7303S 01325W
AQZGN,AQ,ZGN,Zhongshan,1-------,RL,6922S 07623E
ARACF,AR,ACF,Arrecifes,123-----,RL,3405S 06007W
ARASO,AR,ASO,Arroyo Seco,1-------,RL,3308S 06026W
ARBHI,AR,BHI,Bahía Blanca,1--4----,AI,3843S 06217W
ARBQS,AR,BQS,Barranqueras,1-------,AI,
ARBUE,AR,BUE,Buenos Aires,12345---,AI,3435S 05840W
ARBUI,AR,BUI,Ingeniero Buitrago,1-------,RL,3321S 06008W
ARBVC,AR,BVC,Bella Vista,1----6--,RL,2830S 05903W
ARCBS,AR,CBS,Chimbas,1----6--,RL,3129S 06832W
ARCDL,AR,CDL,Candelaria,1-------,RL,2727S 05545W
ARCHL,AR,CHL,Choele Choel,1----6--,RL,
ARCHO,AR,CHO,Chilecito,1----6--,RL,2910S 06730W
ARCLC,AR,CLC,Caleta Córdoba,1-------,AI,4544S 06704W
ARCMP,AR,CMP,Campana,1-------,AI,3409S 05857W
ARCNQ,AR,CNQ,Corrientes,1--4----,AI,
ARCOL,AR,COL,Colón,1-------,AI,3213S 05808W
ARCOU,AR,COU,Concepción del Uruguay,1-------,AI,3229S 05814W
ARCRD,AR,CRD,Comodoro Rivadavia,1--4----,AI,
ARCRY,AR,CRY,Colonia Caroya,1----6--,RL,
ARCSA,AR,CSA,Cabo San Antonio,1-------,RL,3602S 05634W
ARCUA,AR,CUA,Cuatreros/Bahia Blanca,1-------,AI,
ARCVI,AR,CVI,Caleta Olivia,1--4----,AI,
ARDGU,AR,DGU,Del Guazu,1-------,RL,3354S 05852W
ARDME,AR,DME,Diamante,1-------,AI,3204S 06039W
ARDSU,AR,DSU,Dock Sur,1-3-----,RL,3439S 05820W
ARFMA,AR,FMA,Formosa,1--4----,AI,
ARGEO,AR,GEO,Agrelo,1-------,RL,3307S 06853W
ARGHU,AR,GHU,Gualeguaychú,1--4----,AI,3301S 05831W
ARIBY,AR,IBY,Ibicuy,1-------,AI,3344S 05910W
ARINW,AR,INW,Ingeniero White/Bahia Blanca,1-3-----,RL,3847S 06216W
ARIQO,AR,IQO,Coquimbito,1-------,RL,3258S 06845W
ARJLS,AR,JLS,Jose Leon Suarez,1-------,RL,
ARLAV,AR,LAV,Lavalle,1----6--,RL,2812S 06508W
ARLCU,AR,LCU,Lujan de Cuyo,1----6--,RL,3303S 06852W
ARLPG,AR,LPG,La Plata,1--4----,AI,3451S 05753W
ARLPM,AR,LPM,La Paz,1----6--,RL,3328S 06733W
ARLPS,AR,LPS,Las Palmas,123-----,RL,3401S 05907W
ARLUJ,AR,LUJ,Luján,123-----,RL,3434S 05906W
ARLZG,AR,LZG,Luzuriaga,1----6--,RL,3257S 06849W
ARMDQ,AR,MDQ,Mar del Plata,1-345---,AI,3803S 05732W
ARNEC,AR,NEC,Necochea,1--4----,AI,
ARNOS,AR,NOS,Molinos,1-------,RL,2525S 06619W
AROVI,AR,OVI,Olavarría,123-----,RL,3653S 06020W
AROYA,AR,OYA,Goya,1--4----,AI,
AROYO,AR,OYO,Tres Arroyos,1-34----,AI,3823S 06017W
ARPAL,AR,PAL,Puerto Alumbrera,1-------,RL,3239S 06045W
ARPBG,AR,PBG,Puerto Belgrano/Bahia Blanca,1-------,AI,
ARPCO,AR,PCO,Punta Colorada,1-3-----,RL,4142S 06500W
ARPCY,AR,PCY,Pilcomayo,1-------,AI,
ARPEL,AR,PEL,Puerto Eldorado,1-------,RL,2621S 05441W
ARPGV,AR,PGV,Puerto Galvan/Bahia Blanca,1-------,AI,
ARPLA,AR,PLA,Puerto Lavalle,1-------,RL,2901S 05911W
ARPLO,AR,PLO,Punta Loyola,1-------,RL,
ARPME,AR,PME,Punta Medanos,1-------,RL,3650S 05640W
ARPMY,AR,PMY,Puerto Madryn,1--4----,AI,4245S 06502W
ARPNL,AR,PNL,Puerto Nacional/Bahia Blanca,1-------,AI,
ARPP9,AR,PP9,Pablo Podestá,1-3-----,RL,3436S 05831W
ARPQU,AR,PQU,Punta Quilla,1-------,RL,
ARPRA,AR,PRA,Paraná,1--4----,AI,3144S 06032W
ARPRS,AR,PRS,Puerto Rosales/Bahia Blanca,1-------,AI,3856S 06204W
ARPSS,AR,PSS,Posadas,1--4----,AI,
ARPUB,AR,PUB,Puerto Borghi,1-------,RL,
ARPUD,AR,PUD,Puerto Deseado,1--4----,AI,4745S 06554W
ARPWA,AR,PWA,Puerto Wanda,1-------,RL,2558S 05436W
ARQBR,AR,QBR,Quebracho/San Lorenzo,1-3-----,RL,3239S 06043W
ARQQN,AR,QQN,Quequén,1-------,AI,3832S 05842W
